journal,title,author,year,volume,issue,doi,abstract
American Archivist,The archivist as educator: Integrating critical thinking skills into historical research methods instruction,Robyns M.,2001,64,2,10.17723/aarc.64.2.q4742x2324j10457,Archivists are increasingly developing workshops and courses in order to help students better understand and use archival materials. The incorporation of critical thinking skills into these instructional programs can significantly enhance them and improve the ability of students to analyze and interpret primary sources. This article first provides an introduction to critical thinking instruction and then describes how the university archivist successfully implemented critical thinking skills into a historical research methods course at Northern Michigan University.
American Archivist,The Burlington agenda: Research issues in intellectual access to electronically published historical documents,Dow E.H.,2001,64,2,10.17723/aarc.64.2.y1w62427q7778637,"As increasing numbers of primary historical documents appear on the World Wide Web, publishers of those documents will need ways to provide intellectual access to the contents. At a three-day meeting in Burlington, Vermont experts in experimental electronic publishing, library and information science research, documentary editing, and computer science research identified (1) the need for user studies to determine the needs and reactions of the audience(s), (2) the need to assess implications for change in publication management, and (3) the need to compare empirically various technological approaches to access to information as three areas of research that can contribute to our understanding of how to construct and improve intellectual access to historical documents on the Web."
American Archivist,Experiments in deaccessioning: Archives and on-line auctions,Doylen M.,2001,64,2,10.17723/aarc.64.2.2221602x5k72812u,"All archives accumulate duplicate or out-of-scope materials. Archivists have several options for removing such materials from their holdings: they may return them to the donor, transfer them to a more appropriate repository, destroy, or sell them. Although selling is the least practiced of these options, it has advantages. Furthermore, the proliferation and popularity of on-line auction venues make it possible for archives to sell items more quickly and at a greater profit than before. This article discusses the legal and ethical issues raised for archivists by the use of on-line auction venues in deaccessioning unwanted materials."
American Archivist,"Principles, methods, and instruments for the creation, preservation, and use of archival records in the digital environment",Guercio M.,2001,64,2,10.17723/aarc.64.2.n88455np210p8j5v,"This paper focuses on the need for a systematic redefinition of the archival methods and tools required for building electronic recordkeeping systems. The analysis, which has been developed for archival education in Italy, is carried out through an examination of the historical evolution of the main functions for records creation (classification and the registry system) and the evaluation of their effectiveness in the newly developed and technologically advanced records systems. Special attention is given to the risks posed by new Italian and European rules on electronic records. These rules are based on the use of digital signature as the only guarantee for a record's reliability and authencity. It is argued, however, that the digital organization of the records, even if updated and improved, cannot be efficient if it ignores the traditional functional requirements for recordkeeping."
American Archivist,Doing the best we can? The use of collection development policies and cooperative collecting activities at manuscript repositories,Sauer C.,2001,64,2,10.17723/aarc.64.2.gj6771215231xm37,"Written collection development policies and cooperative collecting activities are two tools that archivists are encouraged to use in the course of creating and adding to their repositories' collections. Written collection development policies are advocated as a way to ensure that collections have a coherent and well-defined focus, while cooperative collecting practices are seen as a way to ensure that related materials are not scattered among far-flung repositories and that repositories' scarce resources are not needlessly squandered on unnecessary competitiveness for collections. However, not only are there numerous impediments to the effectiveness of either of these tools, many repositories do not use them. A survey of manuscript repositories reveals some of the reasons why more repositories do not engage in these practices, while quantitatively demonstrating the benefits they offer to repositories that do."
American Archivist,"Understanding ""authenticity"" in records and information management: Analyzing practitioner constructs",Park E.G.,2001,64,2,10.17723/aarc.64.2.yrw0584547775404,"As part of ongoing research, this paper explores how practitioners in records and information management currently understand the construct of authenticity in their professional activities, by examining the concepts and language that they actually use when talking about authenticity. This paper provides brief descriptive statistics drawn from an Internet listserv survey conducted in May 1998, and then analysis related to proving authenticity; the difficulties of judging something authentic; and definitions of authenticity as used and understood in the context of respondents' professional activity. The analysis provides indications of how professionals actually understand and use the concept of authenticity in their professional work depending on the context; and how these professionals react differently to paper records and electronic records. The paper concludes with a discussion of how this preliminary analysis fits within the context of the outcomes of prior electronic records research."
American Archivist,Serving up EAD: An exploratory study on the deployment and utilization of encoded archival description finding aids,Roth J.M.,2001,64,2,10.17723/aarc.64.2.e687471v304k0u66,"This study explores the current methods for deploying EAD finding aids to identify the most promising practices being used, examines how much and what type of evaluation archivists are gathering from end-users regarding deployment methods, identifies archivists' perceptions regarding the use of EAD-encoded finding aids, and in general, attempts to further the study of electronic access to archival collections. The focus of this paper is the current state of deployment methods for EAD, including how long and what types of deployment methods are being used, why they were selected, what changes, if any, are being planned, and what types of challenges are associated with them. The paper also focuses on archivists' perception of end-user utilization of EAD and explores the evaluation upon which this perception is based, including how and on what basis archivists formulate their perceptions."
American Archivist,A virtual expression of need: An analysis of e-mail reference questions,Duff W.,2001,64,1,10.17723/aarc.64.1.q711461786663p33,"This paper analyzes e-mail reference questions posed to archivists in order to enhance our understanding of how users of archives seek information. This study analyzed 375 e-mail reference questions submitted to provincial, federal, university, city and special archives in order to determine, from the users' own words, how users formulate reference requests to archives. Understanding what elements the archives' client uses to describe his or her information need enables the creation of more relevant archival descriptive tools. According to this analysis, people used proper names, dates, places, subject, form, and, occasionally, events when composing their information request. As archives move toward a greater presence on the World Wide Web, archivists should design electronic information systems that account for the information seeking patterns expressed in e-mail refrence requests."
American Archivist,A perspective on indexing slaves' names,Paterson D.E.,2001,64,1,10.17723/aarc.64.1.th18g8t6282h4283,"The indexing of slave names poses problems for archivists who seek to create more detailed access to information about slaves that is contained in a wide variety of records. A system of indexing that uses the slaveowner's name as a primary reference point in finding aids is proposed. This methodology reflects the recordkeeping practices of the time and provides an additional element of identity, beyond first name, that allows different records to be connected with each other."
American Archivist,A question of custody: The colonial archives of the United States Virgin Islands,Bastian J.A.,2001,64,1,10.17723/aarc.64.1.h6k872252u2gr377,"This article examines the relationship between custody, access, and provenance through a case study of the records of a former Danish colony, the United States Virgin Islands. In 1917, when the United States purchased the Virgin Islands from Denmark, Danish archivists removed the majority of records created there during colonial rule and deposited them in the Danish National Archives. Following its establishment in the 1930s, the National Archives of the United States sent an archivist to the Virgin Islands to claim most of the remaining records and ship them to Washington. The native population of the Virgin Islands, primarily former colonials whose ancestors were brought from Africa as slaves, were left without access to the written sources that comprised their history. While all three parties have claims to custody of the records, the claim of the people of the Virgin Islands relies on an expanded definition of provenance that includes territoriality or locale, as well as on a custodial responsiblity for access. The competing custodial claims suggest a dissonance between legal custody, physical custody, and archival principles that may be resolvable through post-custodial management practices."
