journal,title,author,year,volume,issue,doi,abstract,abstract_clean,abstract_tokens
American Archivist,The archivist as educator: Integrating critical thinking skills into historical research methods instruction,Robyns M.,2001,64,2,10.17723/aarc.64.2.q4742x2324j10457,Archivists are increasingly developing workshops and courses in order to help students better understand and use archival materials. The incorporation of critical thinking skills into these instructional programs can significantly enhance them and improve the ability of students to analyze and interpret primary sources. This article first provides an introduction to critical thinking instruction and then describes how the university archivist successfully implemented critical thinking skills into a historical research methods course at Northern Michigan University.,archivists are increasingly developing workshops and courses in order to help students better understand and use archival materials the incorporation of critical thinking skills into these instructional programs can significantly enhance them and improve the ability of students to analyze and interpret primary sources this article first provides an introduction to critical thinking instruction and then describes how the university archivist successfully implemented critical thinking skills into a historical research methods course at northern michigan university,archivist develop workshop course order help student understand use archival material incorporation critical thinking skill instructional program enhance improve ability student analyze interpret primary source article provide introduction critical thinking instruction describe university archivist implement critical thinking skill historical research method northern michigan university
American Archivist,The Burlington agenda: Research issues in intellectual access to electronically published historical documents,Dow E.H.,2001,64,2,10.17723/aarc.64.2.y1w62427q7778637,"As increasing numbers of primary historical documents appear on the World Wide Web, publishers of those documents will need ways to provide intellectual access to the contents. At a three-day meeting in Burlington, Vermont experts in experimental electronic publishing, library and information science research, documentary editing, and computer science research identified (1) the need for user studies to determine the needs and reactions of the audience(s), (2) the need to assess implications for change in publication management, and (3) the need to compare empirically various technological approaches to access to information as three areas of research that can contribute to our understanding of how to construct and improve intellectual access to historical documents on the Web.",as increasing numbers of primary historical documents appear on the world wide web publishers of those documents will need ways to provide intellectual access to the contents at a three-day meeting in burlington vermont experts in experimental electronic publishing library and information science research documentary editing and computer science research identified the need for user studies to determine the needs and reactions of the audience s the need to assess implications for change in publication management and the need to compare empirically various technological approaches to access to information as three areas of research that can contribute to our understanding of how to construct and improve intellectual access to historical documents on the web,increase number primary historical document appear world wide web publisher document need way provide intellectual access content day meeting burlington vermont expert experimental electronic publishing library information science research documentary editing computer science research identify need user study determine need reaction audience need assess implication change publication management need compare various technological approach access information area research contribute understanding construct improve intellectual access historical document web
American Archivist,Experiments in deaccessioning: Archives and on-line auctions,Doylen M.,2001,64,2,10.17723/aarc.64.2.2221602x5k72812u,"All archives accumulate duplicate or out-of-scope materials. Archivists have several options for removing such materials from their holdings: they may return them to the donor, transfer them to a more appropriate repository, destroy, or sell them. Although selling is the least practiced of these options, it has advantages. Furthermore, the proliferation and popularity of on-line auction venues make it possible for archives to sell items more quickly and at a greater profit than before. This article discusses the legal and ethical issues raised for archivists by the use of on-line auction venues in deaccessioning unwanted materials.",all archives accumulate duplicate or out-of-scope materials archivists have several options for removing such materials from their holdings they may return them to the donor transfer them to a more appropriate repository destroy or sell them although selling is the least practiced of these options it has advantages furthermore the proliferation and popularity of on-line auction venues make it possible for archives to sell items more quickly and at a greater profit than before this article discusses the legal and ethical issues raised for archivists by the use of on-line auction venues in deaccessioning unwanted materials,archive accumulate duplicate scope material archivist have several option remove such material holding return donor transfer appropriate repository destroy sell selling practice option have advantage proliferation popularity line auction venue make possible archive sell item great profit article discuss legal ethical issue raise archivist use line auction venue deaccession unwanted material
American Archivist,"Principles, methods, and instruments for the creation, preservation, and use of archival records in the digital environment",Guercio M.,2001,64,2,10.17723/aarc.64.2.n88455np210p8j5v,"This paper focuses on the need for a systematic redefinition of the archival methods and tools required for building electronic recordkeeping systems. The analysis, which has been developed for archival education in Italy, is carried out through an examination of the historical evolution of the main functions for records creation (classification and the registry system) and the evaluation of their effectiveness in the newly developed and technologically advanced records systems. Special attention is given to the risks posed by new Italian and European rules on electronic records. These rules are based on the use of digital signature as the only guarantee for a record's reliability and authencity. It is argued, however, that the digital organization of the records, even if updated and improved, cannot be efficient if it ignores the traditional functional requirements for recordkeeping.",this paper focuses on the need for a systematic redefinition of the archival methods and tools required for building electronic recordkeeping systems the analysis which has been developed for archival education in italy is carried out through an examination of the historical evolution of the main functions for records creation classification and the registry system and the evaluation of their effectiveness in the newly developed and technologically advanced records systems special attention is given to the risks posed by new italian and european rules on electronic records these rules are based on the use of digital signature as the only guarantee for a record s reliability and authencity it is argued however that the digital organization of the records even if updated and improved cannot be efficient if it ignores the traditional functional requirements for recordkeeping,paper focus need systematic redefinition archival method tool require build electronic recordkeeping system analysis develop archival education italy carry examination historical evolution main function record creation classification registry system evaluation effectiveness develop advanced record system special attention give risk pose new italian european rule electronic record rule base use digital signature only guarantee record reliability authencity argue digital organization record update improved efficient ignore traditional functional requirement recordkeepe
American Archivist,Doing the best we can? The use of collection development policies and cooperative collecting activities at manuscript repositories,Sauer C.,2001,64,2,10.17723/aarc.64.2.gj6771215231xm37,"Written collection development policies and cooperative collecting activities are two tools that archivists are encouraged to use in the course of creating and adding to their repositories' collections. Written collection development policies are advocated as a way to ensure that collections have a coherent and well-defined focus, while cooperative collecting practices are seen as a way to ensure that related materials are not scattered among far-flung repositories and that repositories' scarce resources are not needlessly squandered on unnecessary competitiveness for collections. However, not only are there numerous impediments to the effectiveness of either of these tools, many repositories do not use them. A survey of manuscript repositories reveals some of the reasons why more repositories do not engage in these practices, while quantitatively demonstrating the benefits they offer to repositories that do.",written collection development policies and cooperative collecting activities are two tools that archivists are encouraged to use in the course of creating and adding to their repositories collections written collection development policies are advocated as a way to ensure that collections have a coherent and well-defined focus while cooperative collecting practices are seen as a way to ensure that related materials are not scattered among far-flung repositories and that repositories scarce resources are not needlessly squandered on unnecessary competitiveness for collections however not only are there numerous impediments to the effectiveness of either of these tools many repositories do not use them a survey of manuscript repositories reveals some of the reasons why more repositories do not engage in these practices while quantitatively demonstrating the benefits they offer to repositories that do,write collection development policy cooperative collecting activity tool archivist encourage use course create add repository collection write collection development policy advocate way ensure collection have coherent define focus cooperative collecting practice see way ensure relate material scatter flung repository repository scarce resource squander unnecessary competitiveness collection numerous impediment effectiveness tool many repository use survey manuscript repository reveal reason more repository engage practice demonstrate benefit offer repository
American Archivist,"Understanding ""authenticity"" in records and information management: Analyzing practitioner constructs",Park E.G.,2001,64,2,10.17723/aarc.64.2.yrw0584547775404,"As part of ongoing research, this paper explores how practitioners in records and information management currently understand the construct of authenticity in their professional activities, by examining the concepts and language that they actually use when talking about authenticity. This paper provides brief descriptive statistics drawn from an Internet listserv survey conducted in May 1998, and then analysis related to proving authenticity; the difficulties of judging something authentic; and definitions of authenticity as used and understood in the context of respondents' professional activity. The analysis provides indications of how professionals actually understand and use the concept of authenticity in their professional work depending on the context; and how these professionals react differently to paper records and electronic records. The paper concludes with a discussion of how this preliminary analysis fits within the context of the outcomes of prior electronic records research.",as part of ongoing research this paper explores how practitioners in records and information management currently understand the construct of authenticity in their professional activities by examining the concepts and language that they actually use when talking about authenticity this paper provides brief descriptive statistics drawn from an internet listserv survey conducted in may and then analysis related to proving authenticity the difficulties of judging something authentic and definitions of authenticity as used and understood in the context of respondents professional activity the analysis provides indications of how professionals actually understand and use the concept of authenticity in their professional work depending on the context and how these professionals react differently to paper records and electronic records the paper concludes with a discussion of how this preliminary analysis fits within the context of the outcomes of prior electronic records research,part ongoing research paper explore practitioner record information management understand construct authenticity professional activity examine concept language use talk authenticity paper provide brief descriptive statistic draw internet listserv survey conduct may analysis relate prove authenticity difficulty judge authentic definition authenticity use understand context respondent professional activity analysis provide indication professional understand use concept authenticity professional work depend context professional react paper record electronic record paper conclude discussion preliminary analysis fit context outcome prior electronic record research
American Archivist,Serving up EAD: An exploratory study on the deployment and utilization of encoded archival description finding aids,Roth J.M.,2001,64,2,10.17723/aarc.64.2.e687471v304k0u66,"This study explores the current methods for deploying EAD finding aids to identify the most promising practices being used, examines how much and what type of evaluation archivists are gathering from end-users regarding deployment methods, identifies archivists' perceptions regarding the use of EAD-encoded finding aids, and in general, attempts to further the study of electronic access to archival collections. The focus of this paper is the current state of deployment methods for EAD, including how long and what types of deployment methods are being used, why they were selected, what changes, if any, are being planned, and what types of challenges are associated with them. The paper also focuses on archivists' perception of end-user utilization of EAD and explores the evaluation upon which this perception is based, including how and on what basis archivists formulate their perceptions.",this study explores the current methods for deploying ead finding aids to identify the most promising practices being used examines how much and what type of evaluation archivists are gathering from end-users regarding deployment methods identifies archivists perceptions regarding the use of ead-encoded finding aids and in general attempts to further the study of electronic access to archival collections the focus of this paper is the current state of deployment methods for ead including how long and what types of deployment methods are being used why they were selected what changes if any are being planned and what types of challenges are associated with them the paper also focuses on archivists perception of end-user utilization of ead and explores the evaluation upon which this perception is based including how and on what basis archivists formulate their perceptions,study explore current method deploy find aid identify promising practice use examine type evaluation archivist gather end user regard deployment method identify archivist perception regard use encode finding aid general attempt further study electronic access archival collection focus paper current state deployment method ead include type deployment method use select change plan type challenge associate paper focus archivist perception end user utilization ead explore evaluation perception base include basis archivist formulate perception
American Archivist,A virtual expression of need: An analysis of e-mail reference questions,Duff W.,2001,64,1,10.17723/aarc.64.1.q711461786663p33,"This paper analyzes e-mail reference questions posed to archivists in order to enhance our understanding of how users of archives seek information. This study analyzed 375 e-mail reference questions submitted to provincial, federal, university, city and special archives in order to determine, from the users' own words, how users formulate reference requests to archives. Understanding what elements the archives' client uses to describe his or her information need enables the creation of more relevant archival descriptive tools. According to this analysis, people used proper names, dates, places, subject, form, and, occasionally, events when composing their information request. As archives move toward a greater presence on the World Wide Web, archivists should design electronic information systems that account for the information seeking patterns expressed in e-mail refrence requests.",this paper analyzes e-mail reference questions posed to archivists in order to enhance our understanding of how users of archives seek information this study analyzed e-mail reference questions submitted to provincial federal university city and special archives in order to determine from the users own words how users formulate reference requests to archives understanding what elements the archives client uses to describe his or her information need enables the creation of more relevant archival descriptive tools according to this analysis people used proper names dates places subject form and occasionally events when composing their information request as archives move toward a greater presence on the world wide web archivists should design electronic information systems that account for the information seeking patterns expressed in e-mail refrence requests,paper analyze mail reference question pose archivist order enhance understanding user archive seek information study analyze mail reference question submit provincial federal university city special archive order determine user own word user formulate reference request archive understand element archive client use describe information need enable creation relevant archival descriptive tool accord analysis people use proper name date place subject form event compose information request archive move great presence world wide web archivist design electronic information system account information seek pattern express mail refrence request
American Archivist,A perspective on indexing slaves' names,Paterson D.E.,2001,64,1,10.17723/aarc.64.1.th18g8t6282h4283,"The indexing of slave names poses problems for archivists who seek to create more detailed access to information about slaves that is contained in a wide variety of records. A system of indexing that uses the slaveowner's name as a primary reference point in finding aids is proposed. This methodology reflects the recordkeeping practices of the time and provides an additional element of identity, beyond first name, that allows different records to be connected with each other.",the indexing of slave names poses problems for archivists who seek to create more detailed access to information about slaves that is contained in a wide variety of records a system of indexing that uses the slaveowner s name as a primary reference point in finding aids is proposed this methodology reflects the recordkeeping practices of the time and provides an additional element of identity beyond first name that allows different records to be connected with each other,indexing slave name pose problem archivist seek create detailed access information slave contain wide variety record system indexing use slaveowner name primary reference point find aid propose methodology reflect recordkeeping practice time provide additional element identity first name allow different record connect other
American Archivist,A question of custody: The colonial archives of the United States Virgin Islands,Bastian J.A.,2001,64,1,10.17723/aarc.64.1.h6k872252u2gr377,"This article examines the relationship between custody, access, and provenance through a case study of the records of a former Danish colony, the United States Virgin Islands. In 1917, when the United States purchased the Virgin Islands from Denmark, Danish archivists removed the majority of records created there during colonial rule and deposited them in the Danish National Archives. Following its establishment in the 1930s, the National Archives of the United States sent an archivist to the Virgin Islands to claim most of the remaining records and ship them to Washington. The native population of the Virgin Islands, primarily former colonials whose ancestors were brought from Africa as slaves, were left without access to the written sources that comprised their history. While all three parties have claims to custody of the records, the claim of the people of the Virgin Islands relies on an expanded definition of provenance that includes territoriality or locale, as well as on a custodial responsiblity for access. The competing custodial claims suggest a dissonance between legal custody, physical custody, and archival principles that may be resolvable through post-custodial management practices.",this article examines the relationship between custody access and provenance through a case study of the records of a former danish colony the united states virgin islands in when the united states purchased the virgin islands from denmark danish archivists removed the majority of records created there during colonial rule and deposited them in the danish national archives following its establishment in the 1930s the national archives of the united states sent an archivist to the virgin islands to claim most of the remaining records and ship them to washington the native population of the virgin islands primarily former colonials whose ancestors were brought from africa as slaves were left without access to the written sources that comprised their history while all three parties have claims to custody of the records the claim of the people of the virgin islands relies on an expanded definition of provenance that includes territoriality or locale as well as on a custodial responsiblity for access the competing custodial claims suggest a dissonance between legal custody physical custody and archival principles that may be resolvable through post-custodial management practices,article examine relationship custody access provenance case study record former danish colony united states virgin islands united states purchase virgin island denmark danish archivist remove majority record create colonial rule deposit danish national archive follow establishment 1930 national archive united states send archivist virgin island claim most remain record ship washington native population virgin islands former colonial ancestor bring africa slave leave access write source comprise history party have claim custody record claim people virgin islands rely expand definition provenance include territoriality locale custodial responsiblity access compete custodial claim suggest dissonance legal custody physical custody archival principle resolvable post custodial management practice
