title,author,year,abstract
Arranging and cataloguing manuscripts in the William L. Clements Library,Peckham H.,1938,
The analysis of county records,Evans L.,1938,
The evaluation and preservation of business archives,Holmes O.,1938,
Indiana archives,Coleman C.,1938,
The part of the archivist in the writing of American legal history,Keith Fitzroy H.,1938,
Early essay at manuscript preservation in the old northwest,,1938,
The administration of state archives,Gates C.M.,1938,
Repair and preservation in the national archives,Kimberly A.,1938,
Manuscript repair in European archives,Smith L.,1938,
The Illinois State archives building,Norton M.,1938,
Manuscript repair in European archives,Smith L.,1938,
The public records of South Carolina,Woody R.,1939,
The archivist in American scholarship,Newsome A.R.,1939,
Local archives and the study of government,Scammell J.,1939,
Problems of archives classification,Lewinson P.,1939,
Strategic objectives in archival policy,Binkley R.,1939,
Microphotographic equipment,Raney M.,1939,
The training of archivists in the United States,Bemis S.,1939,
Cataloguing at the national archives,Russell J.,1939,
The character and extent of fugitive archival material,Adams R.,1939,
The relation of historical manuscripts to archival materials,Garrison C.,1939,
Motion pictures and the future historian,Arbaugh D.,1939,
The history of European archival literature,Palmer O.,1939,
American archival journals,Jacobsen E.,1939,
Uniform state archival legislation,Newsome A.R.,1939,
The second annual meeting of the Society of American Archivists,Kellar H.,1939,
Publication policies for archival and historical agencies,Crittenden C.C.,1940,
The selection of records for preservation,Brooks P.,1940,
Archival development in the lower Mississippi valley,Davis E.A.,1940,
The public relations of archival depositories,Mccain W.,1940,
Local records,VanderVElde L.G.,1940,
The archives of Texas,Smither H.,1940,
Some aspects of archival development since the French revolution,Posner E.,1940,
Alice in wonderland,Nichols R.,1940,
Archival classification,Wright A.,1940,
The problem of records from the standpoint of management,Chatfield H.,1940,
Specifying inks and papers for government offices,Burt H.,1940,
The Franklin D. Roosevelt library,Connor R.,1940,
Reduction of public records,Leahy E.,1940,
The third annual meeting of the society of American archivists,Overman W.,1940,
Some problems of state archival administration,Crittenden C.C.,1941,
A ten year experiment in archival practices,Nuermberger R.,1941,
Extension service records in Alabama,Davis C.,1941,
Baldassare Bonifacio and his essay de archivis,Born L.,1941,
The archives of New York,Rowse E.,1941,
The papers of Thomas Jefferson,Bullock H.,1941,
A soldier-archivist and his records: Major general Fred C. Ainsworth,Riepma S.,1941,
Administrative history in federal archives,Trever K.,1941,
Some problems of state archival administration,Coleman C.,1941,
Archives and local administrative history,McFarland G.,1941,
Archival maps as illustrated by those in the national archives,Joerg W.,1941,
The Challenge of historical materials,Morris R.B.,1941,
The training of American archivists,Buck S.,1941,
Dedication of the archival section of the Alabama World War memorial building,Connor R.,1941,
Confederate judicial records,Robinson W.,1941,
The fourth annual meeting of the society of American archivists,Cappon L.,1941,
The archivist in times of emergency,Leland W.,1941,
European experiences in training archivists,Posner E.,1941,
"Historical résumé of the public archives of the state of São Paulo, Brazil",Lounsbury R.,1942,
The eighteenth century Cherokee archives,Alden J.R.,1942,
The protection of federal records against Hazards of War,Harris C.,1942,
What is past is prologue,Child S.,1942,
Old records in a new war,Campbell E.,1942,
The dedicatory exercises of the Hoover Library,Bane S.,1942,
Information please: Finding aids in state and local archival depositories,Van Schreeven W.,1942,
Effects of changes of sovereignty on archives,Posner E.,1942,
The French foreign office records under the third republic,Lokke C.,1942,
Finding mediums in the national archives: An appraisal of six years' experience,Hamer P.,1942,
Retention of life insurance records,Larkin H.,1942,
Notes on the history of public administration project,White L.,1942,
Establishing priorities for state records: Illinois experience,Norton M.,1942,
Historians and archivists in the first world war,Leland W.,1942,
Ohio archives,Overman W.,1942,
The records of a statistical survey,Ullman M.B.,1942,
The preservation of consular and diplomatic post records of the United States,Colket M.,1943,
Archival terminology,Hill R.,1943,
"The Bureau of Navigation, 1862-1942",Beers H.,1943,
"Papers, carbons, and ribbons",Keegan W.,1943,
Restoration methods,Barrow W.,1943,
Scheduling the disposition of records,Bahmer R.,1943,
Current aspects of records administration,Brooks P.,1943,
The relationship between archival agencies and libraries,Church R.,1943,
The control of records,McCormick W.,1943,
The need for regional depositories for federal records,Morris R.B.,1943,
The interests of the states in federal field office records,McCain W.,1943,
Army field records,Douglas J.,1943,
The problem of federal field office records,Holmes O.,1943,
The sixth annual meeting of the Society of American Archivists,Burt H.,1943,
The Ohio war history commission,Overman W.,1943,
Adventures of an Amateur archivist,Connor R.D.W.,1943,
Records administration in the Tennessee Valley Authority,Sterman C.,1944,
"Report on the destruction by the Germans, September 30, 1943, of the depository of priceless historical records of the Naples State Archives",Filangieri C.,1944,
Librarians and archivists-some aspects of their partnership,Kahn H.,1944,
A sketch of the interallied organizations of the first world war period and their records,Lokke C.,1944,
The disposal of useless state archives,Crittenden C.,1944,
A note on the imperial record department,Sen S.,1944,
Highlights of the field records program of the Navy Department,Angel H.,1944,
Historical development of the records disposal policy of the federal government prior to 1934,Wells F.,1944,
Archives - What are they?,Hodnefield J.,1944,
Preserving Tar Heel war records,Crittenden C.,1944,
Can the war history projects contribute to the solution of federal records problems?,Setser V.,1944,
I've been working on the railroad,Brayer H.,1944,
The manuscript copying program in England,Power E.,1944,
British archives and the war,Jenkinson H.,1944,
The seventh annual meeting of the society of American archivists,Franklin W.,1944,
The consolidation of files,Stark M.,1944,
The British historical manuscripts commission,Beckham J.,1944,
The war records program in Illinois,Erikson S.,1945,
"The navy's ""record"" in the Second World War",Leahy E.,1945,
An archivist looks at the Library of Congress,Wood R.,1945,
Early records of the War Department General Staff in National Archives,Bethel E.,1945,
War records in their relation to state and local archives,Crittenden C.,1945,
Cataloguing and indexing motion picture film,Bradley J.,1945,
The state archivist looks to the future,Crittenden C.,1945,
How can we improve our historical societies?,Josephson B.,1945,
Let's look at the record,Buck S.,1945,
The local historian in New York,Corey A.,1945,
Some observations on the flattening of folded records,Minogue A.,1945,
Local archives,Burt H.,1945,
The territorial papers of the United States,Carter C.,1945,
Some legal aspects of archives,Norton M.,1945,
Archivo Historico de Hacienda,Hernández A.,1945,
The inviolability of diplomatic archives,Colket M.,1945,
The eighth annual meeting of the Society of American Archivists,Peckham H.H.,1945,
Norwegian archives in the war,Koht H.,1945,
The parchment stretcher at the Maryland Hall of Records,Skordas G.,1946,
Questioned documents,Lacy G.,1946,
Records of the St. Paul Fire and Marine Insurance Company,Wolfsberg V.,1946,
The captured confederate records under Francis Lieber,Lokke C.,1946,
Getting things done!,McDowell W.,1946,
The change in editorship of the American Archivist,,1946,
Whose fault? An editorial,,1946,
Retirement of federal war records,Gondos V.,1946,
Some practical suggestions regarding specifications for rebinding public records,Schneider A.,1946,
The collection and preservation of local historical pictures in the Minneapolis Public Library,Thompson R.,1946,
Standard for permanent record photographic microcopying film (Gelatin-silver halide emulsion type),,1946,
The preservation of war records at the air technical service command,Thomas C.M.,1946,
The National Archives and the protection of records in war areas,Holmes O.,1946,
"Putting PAW to bed, or the records retirement program of PAW",Bourne F.,1946,
"Home front records of New York, 1940-1945: The problem of disposition",Hartzell K.,1946,
Storage of records in Minnesota,Dorweiler L.,1946,
Arcana Siwash: The function and needs of a college archives,Le Duc T.,1946,
The ninth annual meeting of the Society of American Archivists,Josephson B.,1946,
Treatment of fire and water damaged records,Minogue A.,1946,
The San Francisco UNCIO documents,Bruce W.,1946,
Policy documentation in the War Production Board,Stark M.,1946,
Classification scheme for archival literature,Mookerjee S.,1947,
Capitán Joaquín Llaverías and the Boletín del Archivo National,Hill R.,1947,
Sampling rural rehabilitation records for transfer to the National Archives,Kulsrud C.,1947,
Guides to records of World War II,Hamer P.,1947,
Senate debate on public records,Vaughan J.,1947,
The role of records in administration,Marx F.M.,1947,
Wartime photographic activities and records resulting therefrom,Holmes D.,1947,
From Binkley to Bush,Tate V.,1947,
Short sketch of the archives of three rivers,Douville R.,1947,
The records of international meetings,Spaulding E.,1947,
Letter sent to archivists of foreign countries concerning the organization of an international archives council,,1947,
The first decade of the Society of American Archivists,Brooks P.,1947,
The records of the Denver and Rio Grande western railroad,Taylor D.,1947,
Indexing,Josephson B.,1947,
The United Nations Archives,Claus R.,1947,
Records of the Island of St. Helena Lat. 15° 55′ S. Long. 5° 428W.,Kitching G.C.,1947,
Department of public records and archives of Ontario,McClung H.,1947,
A university cares for its war contract records,Lovett R.,1947,
The archives and documents of the Preparatory Commission of the United Nations,Dougall R.,1947,
"The archivist's ""One World""",Buck S.,1947,
The tenth annual meeting of the Society of American Archivists,Bahmer R.,1947,
Black writing ink of the colonial period,Barrow W.J.,1948,
Archives in Canada,Simpson G.,1948,
"Report on the meeting of professional archivists called by the United Nations Educational, Scientific, and Cultural Organization, June 9 to 11, 1948, Paris, France",Brayer H.,1948,
Black writing ink of the colonial period,Barrow W.,1948,
The archives program of the United Nations,Claus R.,1948,
A practical guide to calendaring,Radoff M.,1948,
The present state of Czechoslovak archives,Polisensky J.V.,1948,
The archival profession in eclipse,Schiller I.,1948,
The organization and status of archival training in the United States,Trever K.,1948,
The machine age in historical research,Lawson M.G.,1948,
The eleventh annual meeting of the Society of American Archivists,Brayer H.,1948,
The Italian archives during the war,Re E.,1948,
A guide to practical calendaring,Radoff M.,1948,
The materials of history,Wake J.,1948,
Manuscripts in the Library of Congress: 1800-1900,Shelley F.,1948,
The responsibility of the state archivist to the other officers of his state government,Eddy H.,1948,
The work of the war archives sections in New Zealand and Australia,Grayland E.,1948,
The place of county records in the state archival system,De Valinger L.,1948,
The processing procedures of the Manuscript Department of Duke University Library,Russell M.,1949,
A note on the authentication of documents,Kahn H.,1949,
What the genealogist expects of an archival agency or historical society,Rubincam M.,1949,
A plan of organization for a university archives,Browne H.,1949,
The national archives at a turn in the road,Holmes O.,1949,
FDR visits the national archives,Connor R.D.W.,1949,
Modern records management,Leahy E.,1949,
The archival program of Pennsylvania,Eddy H.,1949,
The scholar's interest in personnel records,Wright A.R.,1949,
The archival program of Wisconsin,Lord C.,1949,
The conservation of medieval seals in the Swedish Riksarkiv,Fleetwood G.,1949,
Archival activity in American universities and colleges,Jennings J.,1949,
The interest of J. Franklin Jameson in the national archives: 1908-1934,Shelley F.,1949,
The twelfth annual meeting of the Society of American Archivists,Van Schreeven W.,1949,
The papers of Thomas Jefferson: Progress and procedures in the enterprise at Princeton,Butterfield L.H.,1949,
Archives in the Library of Congress,Andreassen J.,1949,
Research for the archivist of today and tomorrow,Lewis H.F.,1949,
The archives of small business,Clark T.,1949,
The archivist as a public servant,Crittenden C.,1949,
Hawaii territorial archives in the war,Jones M.,1949,
