journal,title,author,year,volume,issue,doi,abstract
Archival Science,Archival science and postmodernism: New formulations for old concepts,Cook T.,2001,1,1,10.1007/BF02435636,"Process rather than product, becoming rather than being, dynamic rather than static, context rather than text, reflecting time and place rather than universal absolutes - these have become the postmodern watchwords for analyzing and understanding science, society, organizations, and business activity, among others. They should likewise become the watchwords for archival science in the new century, and thus the foundation for a new conceptual paradigm for the profession. Postmodernism is not the only reason for reformulating the main precepts of archival science. Significant changes in the purpose of archives as institutions and the nature of records are other factors which, combined with postmodern insights, form the basis of the new perception of archives as documents, institutions, and profession in society. This essay explores the nature of postmodernism and archival science, and suggest links between the two. It outlines two broad changes in archival thinking that underpin the archival paradigm shift, before suggesting new formulations for most traditional archival concepts. © 2001 Kluwer Academic Publishers."
Archival Science,The development of archival science as a scholarly discipline,Rumschöttel H.,2001,1,2,10.1007/BF02435645,"Following remarks on terminology and definition the paper begins with a historical retrospective giving a short description and analysis of the stages of development of archival science since the 16th century. It centers on the emancipation of theoretical and applied archival science to an independent discipline of arts regarding research and doctrine during the last 50 years. It investigates the aims of cognition, objects (contents and methodical structure), methods and results of research conducted up to now, then the channels of scientific communication and doctrine. Furthermore in treats the importance of interdisciplinary orientation, the reciprocal effects of archival science and the description of the profession as well as the relationship between regional and global elements in theoretical and applied archival science. The paper ends by referring to some current desiderata of research and the roll of ICA in the further development of archival science. © 2001 Kluwer Academic Publishers."
Archival Science,Archival theory in Italy today,Tamblé D.,2001,1,1,10.1007/BF02435640,"Archival theory in Italy has a long tradition, going back as far as the second half of the nineteenth century, and with roots in the 17th and 18th centuries. Central theme in the theory is the metodo storico, the principle of provenance, for the first time expressed in the late 19th century by Bonaini and Bongi. In the following decades archivists like Casanova and Cencetti were among the leading authors. Elio Lodolini assigned himself the task to synthesize ideas and notions, within a clear distinctions between records (registratura) and archives. One of the overall characteristics of the rich Italian literature is the stressing of the cultural value of archives. ©2001 Kluwer Academic Publishers."
Archival Science,Education and research in archival science: General tendencies,Couture C.,2001,1,2,10.1007/BF02435646,"This text is essentially based on works carried out for a research which was subsidized from 1997 to 2000 by the Social Sciences and Humanities Research Council of Canada (SSHRC). The goal of this study was to examine the general tendencies of education and research in archival science. First, a review of the literature published from 1985 to 1998 allowed us to establish a state of the art. Then, a survey was completed with a questionnaire which has been sent to educational institutions, national archives institutions and researchers. Answers were received from more than 70 different countries. With regards to the education program, the analysis of data shows that there have seen notable progresses. More than the growth of the number of programs, we must especially recognize the constant improvement of its contents, which is achieved in conformity with the propositions made in the literature. As for the research, it exists a community of ideas about fields and themes to be privileged even if there is an apparent division of the researchers into two groups. The first group distinguishes itself by its cohesion by unanimously recognizing a small number (nine) of priorities in research in archival science. The second group shows multiple interests which cover 30 research themes. The author conclude in saying that the development of education and research in archival science are on their way, but nothing has yet been won. It is important to accentuate the efforts to insure a durable life to education and research as pillars of the discipline. © 2001 Kluwer Academic Publishers."
Archival Science,Accountability in an information age: Opportunities and risks for records management,Meijer A.,2001,1,4,10.1007/BF02438902,"Electronic records of government organizations are becoming increasingly important for accountability. Managing electronic records, however, proves to be difficult since information and communication technologies confront organizations with various opportunities and risks. In this paper the findings of an international expert survey on electronic records management are presented. These findings identify opportunities and risks for e-mail systems, database management systems, office systems, web technology systems and smart systems. They also point to five crucial questions that must be addressed in order to guarantee the availability of electronic records for accountability. © 2002 Kluwer Academic Publishers."
Archival Science,The impact of digital technology on archival science,Duranti L.,2001,1,1,10.1007/BF02435638,Archival science is to be regarded as a system. The properties of that system can be investigated and integrated. The methodology to do so has been tested in two research projects which are presented in this article as examples of the way in which the view of archival science as a system supports the development of new knowledge and as a demonstration of the stability of archival theory. © 2001 Kluwer Academic Publishers.
Archival Science,Six degrees of separation: Australian metadata initiatives and their relationships with international standards,Cunningham A.,2001,1,3,10.1007/BF02437691,"This paper describes initiatives being pursued by the national archives of Australia regarding the development of metadata standards for online resource discovery and for electronic recordkeeping the genesis and objectives of these standards are discussed in the context of efforts being made by the Australian government to modernise and overhaul its recordkeeping practices in the light of changes wrought through the adoption of desktop computer applications and online service delivery, the standards are also described in the context of broader international metadata and archival descriptive standards initiatives. © 2001 Kluwer Academic Publishers."
Archival Science,Tacit narratives: The meanings of archives,Ketelaar E.,2001,1,2,10.1007/BF02435644,"Archivists and historians usually consider archives as repositories of historical sources and the archivist as a neutral custodian. Sociologists and anthropologists see ""the archive"" also as a system of collecting, categorizing, and exploiting memories. Archivists are hesitantly acknowledging their role in shaping memories. I advocate that archival fonds, archival documents, archival institutions, and archival systems contain tacit narratives which must be deconstructed in order to understand the meanings of archives. © 2001 Kluwer Academic Publishers."
Archival Science,Access - The reformulation of an archival paradigm,Menne-Haritz A.,2001,1,1,10.1007/BF02435639,"The focus of archives is shifting from storage to access. This shift changes fundamentally the views of archival thinking and of the difference between past and future. Archivists become specialists who provide means for the use of time, and do not just offer past times themselves. The author argues that the access paradigm reinforces the theoretical challenges as well as the pragmatic implementation of archival methods and ideas. She discusses the consequences for archival theory and for the methodologies of description, appraisal and preservation. © 2001 Kluwer Academic Publishers."
Archival Science,Evaluating metadata on a metalevel,Duff W.,2001,1,3,10.1007/BF02437692,"This paper compares the purpose, content, structure and level of specificity of two archival metadata schemes: The International Standards for Archival Description (ISAD (G)) and the Business Acceptable Communication model (BAC) developed by the University of Pittsburgh Project. It suggests that different archival views guided the work of the two projects and these views influenced and shaped the respective schemes. Finally it recommends that archivists involve users in the development of their schemes to ensure the identification of the right metadata at the appropriate level of specificity to meet users' need. © 2001 Kluwer Academic Publishers."
Archival Science,Placing records continuum theory and practice,McKemmish S.,2001,1,4,10.1007/BF02438901,"This article provides an overview of evolving Australian records continuum theory and the records continuum model, which is interpreted as both a metaphor and a new worldview, representing a paradigm shift in Kuhn's sense. ' It is based on a distillation of research findings drawn from discourse, literary warrant and historical analysis, as well as case studies, participant observation and reflection. The article traces the emergence in Australia in the 1990s of a community of practice which has taken continuum rather than life cycle based perspectives, and adopted postcustodial approaches to recordkeeping and archiving. It ""places"" the evolution of records continuum theory and practice in Australia in the context of a larger international discourse that was reconceptualizing traditional theory, and ""reinventing"" records and archives practice. © 2002 Kluwer Academic Publishers."
