journal,title,author,year,volume,issue,doi,abstract,abstract_clean,abstract_tokens
Archivaria,"Finding ""enlightenment"" in the National Archives of Canada: The commonplace book of James Sholto Douglas",Eamon M.,2001,51,1,,"This article chronicles the author's exploration of the provenance and content of the papers of James Sholto Douglas, a student at the University of Edinburgh during the 1750s. Extrapolating from science historian Bruno Latour's concept of ""ready-made"" science, the author argues that the processes of acquisition, organization, and description create a ""black box"" around the record. Through opening the black box, the archivist gains a better understanding, not only of the documents but also of the process behind their acquisition and description. The James Sholto Douglas papers are an excellent example of the education and thought which existed during the Scottish Enlightenment; they also constitute an excellent case study of how deconstructing a record's context can bring enlightenment.",this article chronicles the author s exploration of the provenance and content of the papers of james sholto douglas a student at the university of edinburgh during the 1750s extrapolating from science historian bruno latour s concept of ready-made science the author argues that the processes of acquisition organization and description create a black box around the record through opening the black box the archivist gains a better understanding not only of the documents but also of the process behind their acquisition and description the james sholto douglas papers are an excellent example of the education and thought which existed during the scottish enlightenment they also constitute an excellent case study of how deconstructing a record s context can bring enlightenment,article chronicle author exploration provenance content paper james sholto dougla student university edinburgh extrapolate science historian bruno latour concept ready make science author argue process acquisition organization description create black box record open black box archivist gain well understanding document process acquisition description james sholto douglas paper excellent example education thought exist scottish enlightenment constitute excellent case study deconstruct record context bring enlightenment
Archivaria,The archivist as planner and poet: Thoughts on the larger issues of appraisal for acquisition,Craig B.,2001,52,1,,"This article comments on issues related to private sector acquisition strategies. It discusses the relationship of acquisition to institutional mandates and ideas of significance. Appraisal is linked to larger concepts of time, memory, and the continuing preservation of records. Four large areas for archives research are highlighted: the role of appraisal in preservation; the nature of records for private persons; connections between archives and other social memorials; and the study of archives users. The pursuit of archives history is advocated for its potential utilitarian and humane contributions to appraisal.",this article comments on issues related to private sector acquisition strategies it discusses the relationship of acquisition to institutional mandates and ideas of significance appraisal is linked to larger concepts of time memory and the continuing preservation of records four large areas for archives research are highlighted the role of appraisal in preservation the nature of records for private persons connections between archives and other social memorials and the study of archives users the pursuit of archives history is advocated for its potential utilitarian and humane contributions to appraisal,article comment issue relate private sector acquisition strategy discuss relationship acquisition institutional mandate idea significance appraisal link large concept time memory continue preservation record large area archive research highlight role appraisal preservation nature record private person connection archive other social memorial study archive user pursuit archive history advocate potential utilitarian humane contribution appraisal
Archivaria,"One size fits all? the portability of macro-appraisal by a comparative analysis of Canada, South Africa, and New Zealand",Roberts J.,2001,52,1,,"This article examines the methodology of macro-appraisal in environments other than the Canadian context in which it was originally developed. It considers the suitability of the model for government archives in Canada, South Africa, and New Zealand. Macro-appraisal is discussed first as a theoretical framework and then as a response to practical difficulties arising from other approaches to appraisal. The change management issues surrounding the possible adoption of macro-appraisal in other jurisdictions are explored. The article suggests that both theory and practice need to be addressed when considering the adoption of new models. While local conditions need to be considered, the possible value of overseas innovations should not be ignored.",this article examines the methodology of macro-appraisal in environments other than the canadian context in which it was originally developed it considers the suitability of the model for government archives in canada south africa and new zealand macro-appraisal is discussed first as a theoretical framework and then as a response to practical difficulties arising from other approaches to appraisal the change management issues surrounding the possible adoption of macro-appraisal in other jurisdictions are explored the article suggests that both theory and practice need to be addressed when considering the adoption of new models while local conditions need to be considered the possible value of overseas innovations should not be ignored,article examine methodology macro appraisal environment other canadian context develop consider suitability model government archive canada south africa new zealand macro appraisal discuss theoretical framework response practical difficulty arise other approach appraisal change management issue surround possible adoption macro appraisal other jurisdiction explore article suggest theory practice need address consider adoption new model local condition need consider possible value overseas innovation ignore
Archivaria,Constructing a function-based records classification system: Business activity structure classification system,Sabourin P.,2001,51,1,,"In 1995, the National Archives of Canada (NA) undertook a project to review and replace the General Records Disposal Schedules of the Government of Canada (GRDS). The GRDS contained the records disposition authorities and retention periods for all common administrative records created, collected, and controlled by the Government of Canada (GoC). It had not undergone any major revisions since the 1960s. The replacement of the GRDS, and the manner in which it was done, has had a profound effect on various other aspects of federal government record-keeping, one of which is its Subject Block Numeric Classification System. This article briefly examines what impact the replacement of the GRDS has had on the subject-based classification systems in the GoC, and proposes what may be required in the future to develop function-based file classification systems to facilitate the management of government information holdings and the application of records disposition authorities. This article is written in a government context but can be applied to records management practices in the private sector as well. It is aimed at an audience that is primarily interested in and responsible for the conception, design, implementation, and maintenance of record classification systems based on an analysis of business functions.",in the national archives of canada na undertook a project to review and replace the general records disposal schedules of the government of canada grds the grds contained the records disposition authorities and retention periods for all common administrative records created collected and controlled by the government of canada goc it had not undergone any major revisions since the 1960s the replacement of the grds and the manner in which it was done has had a profound effect on various other aspects of federal government record-keeping one of which is its subject block numeric classification system this article briefly examines what impact the replacement of the grds has had on the subject-based classification systems in the goc and proposes what may be required in the future to develop function-based file classification systems to facilitate the management of government information holdings and the application of records disposition authorities this article is written in a government context but can be applied to records management practices in the private sector as well it is aimed at an audience that is primarily interested in and responsible for the conception design implementation and maintenance of record classification systems based on an analysis of business functions,national archive canada undertook project review replace general record disposal schedule government canada grd grd contain record disposition authority retention period common administrative record create collect control government canada goc undergo major revision 1960 replacement grd manner have profound effect various other aspect federal government record keep subject block numeric classification system article examine impact replacement grd have subject base classification system goc propose require future develop function base file classification system facilitate management government information holding application record disposition authority article write government context apply record management practice private sector aim audience interested responsible conception design implementation maintenance record classification system base analysis business function
Archivaria,Oral history and archives in the new South Africa: Methodological issues,Klopfer L.,2001,52,1,,"The upsurge of interest in oral history in South Africa raises a series of methodological questions for archivists. Existing approaches to oral history, whether folkloric, historical, or more focussed on community and identity, have rarely asked whether oral histories should function as records and, if so, how they should be appraised. This essay explores these questions and concludes with a call for more flexible, creative approaches to appraising oral histories.",the upsurge of interest in oral history in south africa raises a series of methodological questions for archivists existing approaches to oral history whether folkloric historical or more focussed on community and identity have rarely asked whether oral histories should function as records and if so how they should be appraised this essay explores these questions and concludes with a call for more flexible creative approaches to appraising oral histories,upsurge interest oral history south africa raise series methodological question archivist exist approach oral history folkloric historical focussed community identity ask oral history function record appraise essay explore question conclude call flexible creative approach appraise oral history
Archivaria,The Iraqi secret police files: A documentary record of the Anfal genocide,Montgomery B.,2001,52,1,,"In March 1991, after the defeat of the Iraqi armed forces in the Gulf War, Kurdish rebels rose in popular revolt against the Iraqi regime, storming and burning secret police stations, prisons, and torture centres. In the uprising, the Iraqi Kurds seized an enormous cache of secret police files from several cities and towns in the northern region of Iraqi Kurdistan before Saddam Hussein's armed forces returned to crush the revolt after having quelled mass uprisings in the south among the Shiites. The captured documents quickly took on international importance, as they contained direct evidence of crimes against humanity and the Anfal genocide that had been perpetrated against the Kurds by the Iraqi regime during the late 1980s. The extraordinary journey of these documents from northern Iraq to the National Archives in Washington, and then to the University of Colorado at Boulder's Human Rights Initiative has been an odyssey of international political dimensions. The documents have great international significance as they comprise the evidentiary centrepiece of a broad-based international campaign by human rights groups, the United States government, judicial authorities overseas, and others to indict and bring to justice Saddam Hussein and his top leadership before an international tribunal. Whatever occurs in the current effort to prosecute the Iraqi leadership, it is clear that the story surrounding these documents is far from over.",in march after the defeat of the iraqi armed forces in the gulf war kurdish rebels rose in popular revolt against the iraqi regime storming and burning secret police stations prisons and torture centres in the uprising the iraqi kurds seized an enormous cache of secret police files from several cities and towns in the northern region of iraqi kurdistan before saddam hussein s armed forces returned to crush the revolt after having quelled mass uprisings in the south among the shiites the captured documents quickly took on international importance as they contained direct evidence of crimes against humanity and the anfal genocide that had been perpetrated against the kurds by the iraqi regime during the late 1980s the extraordinary journey of these documents from northern iraq to the national archives in washington and then to the university of colorado at boulder s human rights initiative has been an odyssey of international political dimensions the documents have great international significance as they comprise the evidentiary centrepiece of a broad-based international campaign by human rights groups the united states government judicial authorities overseas and others to indict and bring to justice saddam hussein and his top leadership before an international tribunal whatever occurs in the current effort to prosecute the iraqi leadership it is clear that the story surrounding these documents is far from over,march defeat iraqi armed force gulf war kurdish rebel rise popular revolt iraqi regime storming burn secret police station prison torture centre uprising iraqi kurd seize enormous cache secret police file several city town northern region iraqi kurdistan saddam hussein armed force return crush revolt quell mass uprising south shiites capture document take international importance contain direct evidence crime humanity anfal genocide perpetrate kurd iraqi regime late 1980 extraordinary journey document northern iraq national archive washington university colorado boulder human right initiative odyssey international political dimension document have great international significance comprise evidentiary centrepiece base international campaign human right group united states government judicial authority other indict bring justice saddam hussein top leadership international tribunal occur current effort prosecute iraqi leadership clear story surround document
Archivaria,Fashionable nonsense or professional rebirth: Postmodernism and the practice of archives,Cook T.,2001,51,1,,"Postmodern ideas have been dismissed as fashionable nonsense demonstrating academia's arrogant incomprehensibility and equally acclaimed as liberating concepts freeing many disciplines from worn-out traditional constraints. This article explores the relevance of postmodern thinking for archival practice. Postmodern thinkers have discussed for several decades topics close to archivists' concerns, and more recently begun to address directly ""the archive"" itself as record, institution, and function. This essay looks at the weaknesses and strengths of postmodern analysis, assays some definitions of postmodernism in an archival context, and suggests how postmodern insights might change archivists' daily practice as they work (and live) inescapably in conditions of postmodernity. The principal focus of such changes centres around much greater transparency and accountability by archivists for the archival function itself and much greater awareness of the diversity, ambiguity, and multiple identities of records creators, information systems, and archives users.",postmodern ideas have been dismissed as fashionable nonsense demonstrating academia s arrogant incomprehensibility and equally acclaimed as liberating concepts freeing many disciplines from worn-out traditional constraints this article explores the relevance of postmodern thinking for archival practice postmodern thinkers have discussed for several decades topics close to archivists concerns and more recently begun to address directly the archive itself as record institution and function this essay looks at the weaknesses and strengths of postmodern analysis assays some definitions of postmodernism in an archival context and suggests how postmodern insights might change archivists daily practice as they work and live inescapably in conditions of postmodernity the principal focus of such changes centres around much greater transparency and accountability by archivists for the archival function itself and much greater awareness of the diversity ambiguity and multiple identities of records creators information systems and archives users,postmodern idea dismiss fashionable nonsense demonstrate academia arrogant incomprehensibility acclaim liberating concept free many discipline wear traditional constraint article explore relevance postmodern thinking archival practice postmodern thinker discuss several decade topic close archivist concern begin address archive record institution function essay look weakness strength postmodern analysis assay definition postmodernism archival context suggest postmodern insight change archivist daily practice work live condition postmodernity principal focus such change centre great transparency accountability archivist archival function great awareness diversity ambiguity multiple identity record creator information system archive user
Archivaria,Archives in 3D,Cardin M.,2001,51,1,,"This article examines the characteristics of archives (records) susceptible to modification by changes in context. After briefly defining the notion of context, the author proposes a complex analytical model, taking into account what archives are, what they do, and what they represent for their creators. By applying such a model to a traditional definition of archives, the author can identify the physical, functional, and symbolic characteristics of archives and explore how they have been conditioned by contexts of recording, communication, and memory making.",this article examines the characteristics of archives records susceptible to modification by changes in context after briefly defining the notion of context the author proposes a complex analytical model taking into account what archives are what they do and what they represent for their creators by applying such a model to a traditional definition of archives the author can identify the physical functional and symbolic characteristics of archives and explore how they have been conditioned by contexts of recording communication and memory making,article examine characteristic archive record susceptible modification change context define notion context author propose complex analytical model take account archive represent creator apply model traditional definition archive author identify physical functional symbolic characteristic archive explore condition context record communication memory making
Archivaria,The appraisal of personal papers: A Critical literature Review,Pollard R.A.,2001,52,1,,"This article examines the notable absence of personal papers from dominant appraisal models, both historically and at present, as well as the inadequacies of our current literature in addressing issues central to the appraisal of personal papers. It then suggests that appraisal methodologies which focus on the societal context of records and the functions and motivations of their creators may have valuable contributions to make in the further consideration of this much neglected area of archival theory.",this article examines the notable absence of personal papers from dominant appraisal models both historically and at present as well as the inadequacies of our current literature in addressing issues central to the appraisal of personal papers it then suggests that appraisal methodologies which focus on the societal context of records and the functions and motivations of their creators may have valuable contributions to make in the further consideration of this much neglected area of archival theory,article examine notable absence personal paper dominant appraisal model present inadequacy current literature address issue central appraisal personal paper suggest appraisal methodology focus societal context record function motivation creator have valuable contribution make further consideration much neglect area archival theory
Archivaria,"Let the ghosts speak: An empirical exploration of the ""nature"" of the record",Lemieux V.,2001,51,1,,"This article uses empirical data from a case study of record-keeping practices in indigenous Jamaican commercial banks that collapsed to explore the ""nature"" of the record. The article continues a thread of debate appearing in previous issues of Archivaria which questioned the definition of a record, whether the meaning of a record is fixed at the point of creation or evolves over time, and who authors the record. Drawing upon empirical data, the article finds support for the ideas of Preben Mortensen, Brien Brothman, and Tom Nesmith. Data are presented to illustrate the point that there is no single valid conceptualization of the record, but there are many valid conceptualizations arising from particular social contexts, and, further, that meaning in records is engendered over time by all those involved in the processes of incription, transmission, and contextualization, including record-keepers.",this article uses empirical data from a case study of record-keeping practices in indigenous jamaican commercial banks that collapsed to explore the nature of the record the article continues a thread of debate appearing in previous issues of archivaria which questioned the definition of a record whether the meaning of a record is fixed at the point of creation or evolves over time and who authors the record drawing upon empirical data the article finds support for the ideas of preben mortensen brien brothman and tom nesmith data are presented to illustrate the point that there is no single valid conceptualization of the record but there are many valid conceptualizations arising from particular social contexts and further that meaning in records is engendered over time by all those involved in the processes of incription transmission and contextualization including record-keepers,article use empirical datum case study record keep practice indigenous jamaican commercial bank collapse explore nature record article continue thread debate appear previous issue archivaria question definition record meaning record fix point creation evolve time author record drawing empirical datum article find support idea preben mortensen brien brothman tom nesmith datum present illustrate point single valid conceptualization record many valid conceptualization arise particular social context meaning record engender time involve process incription transmission contextualization include record keeper
