journal,title,author,year,volume,issue,doi,abstract,abstract_clean
Records Management Journal,The story of the Australian recordkeeping competency standards,Picot A.,2001,11.0,3,10.1108/EUM0000000007272,"In July 2001 a comprehensive training package for business services successfully jumped its first hurdle on the way to endorsement when the Australian National Training Authority passed it onto the National Quality Training Council for quality checking. The Business Services Training Package includes a revised set of recordkeeping competency units based on the 1997 Records and Archives Competency Standards. The revised standards have been packaged into recommended qualifications which embrace both specialist recordkeeping qualifications and general business services qualifications. The training package may be used to construct training programs through a range of levels, from schoolleavers entering the workforce to do office work, through to professional development programs for experienced recordkeeping professionals. The process of re-organising the 1997 competency standards into training packages has been a subject of controversy in the industry. This article provides an account of the original project to develop records management and archives competency standards and the subsequent revision project in the context of major changes in the tertiary education sector in Australia. © 2001, MCB UP Limited",in july a comprehensive training package for business services successfully jumped its first hurdle on the way to endorsement when the australian national training authority passed it onto the national quality training council for quality checking the business services training package includes a revised set of recordkeeping competency units based on the records and archives competency standards the revised standards have been packaged into recommended qualifications which embrace both specialist recordkeeping qualifications and general business services qualifications the training package may be used to construct training programs through a range of levels from schoolleavers entering the workforce to do office work through to professional development programs for experienced recordkeeping professionals the process of re-organising the competency standards into training packages has been a subject of controversy in the industry this article provides an account of the original project to develop records management and archives competency standards and the subsequent revision project in the context of major changes in the tertiary education sector in australia mcb up limited
Records Management Journal,Appraisal based on organic functional analysis: A case study in an electronic records environment,Carvalho C.,2001,11.0,3,10.1108/EUM0000000007274,"This article is a shortened version of a Master's dissertation for the Liverpool University Centre for Archive Studies. It deals with issues of appraisal. Such issues involve fundamental concepts on what records are, why they are kept, and their life cycle. The answers to these questions were sought and found in the history of archives, and in the specialist literature. The theory and the methodology adopted were then applied to a case study of a recently established organisation in Lisbon, which has, at the core of its business, information in electronic format. © 2001, MCB UP Limited",this article is a shortened version of a master s dissertation for the liverpool university centre for archive studies it deals with issues of appraisal such issues involve fundamental concepts on what records are why they are kept and their life cycle the answers to these questions were sought and found in the history of archives and in the specialist literature the theory and the methodology adopted were then applied to a case study of a recently established organisation in lisbon which has at the core of its business information in electronic format mcb up limited
Records Management Journal,Guidelines and standards for records management education and training: A model for Anglophone Africa,Ngulube P.,2001,11.0,3,10.1108/EUM0000000007273,"This article gives an overview of education and training of records managers in anglophone Africa and then focuses on standards for training of archivist and records managers. Using South Africa's National Qualifications Framework and the South African Qualifications Authority guidelines, a training model that can be used elsewhere in Africa with some adjustments is suggested. The article recognises that there can be no one set of universally standard desirable outcomes for all educational institutions, as the outcomes must depend on the institution's nature and mission. Whilst the teaching and learning processes may differ between countries, there should be a substantial commonality in the outcomes achieved. Thus it would be possible to have generic processes of assessment and accreditation. Adherence to standards is key to the generic process of accreditation and professional mobility. © 2001, MCB UP Limited",this article gives an overview of education and training of records managers in anglophone africa and then focuses on standards for training of archivist and records managers using south africa s national qualifications framework and the south african qualifications authority guidelines a training model that can be used elsewhere in africa with some adjustments is suggested the article recognises that there can be no one set of universally standard desirable outcomes for all educational institutions as the outcomes must depend on the institution s nature and mission whilst the teaching and learning processes may differ between countries there should be a substantial commonality in the outcomes achieved thus it would be possible to have generic processes of assessment and accreditation adherence to standards is key to the generic process of accreditation and professional mobility mcb up limited
Records Management Journal,ISO 15489 Records Management – its development and significance,Healy S.,2001,11.0,3,10.1108/EUM0000000007271,"This article describes the process of producing ISO 15489 Records Management, and explores some of the professional and other issues that arose for consideration at an international level. It concludes by identifying some of the benefits of the Standard for records management in the UK. © 2001, MCB UP Limited",this article describes the process of producing iso records management and explores some of the professional and other issues that arose for consideration at an international level it concludes by identifying some of the benefits of the standard for records management in the uk mcb up limited
Records Management Journal,"VERS implementation project at the Department of Infrastructure – Melbourne, Australia",Quenault H.,2001,11.0,2,10.1108/EUM0000000007267,"This paper discusses related records of digital information. It covers the background of the Victorian Electronic Records Strategy (VERS) and highlights some of the areas and issues discovered in the implementation of VERS at the Department of Infrastructure, Victoria, and Australia. © 2001, MCB UP Limited",this paper discusses related records of digital information it covers the background of the victorian electronic records strategy vers and highlights some of the areas and issues discovered in the implementation of vers at the department of infrastructure victoria and australia mcb up limited
Records Management Journal,The management and preservation of personnel recrods in ESARBICA members states,Mnjama N.,2001,11.0,2,10.1108/EUM0000000007270,"In this article the author explores current practice in managing personnel records within the context of government in East and Southern African countries. Such records are mostly in paper form and are vast in number. The results of observation, discussion and a survey are shared. Conclusions and recommendations are made about the future management of personnel records particularly in the context of possible future freedom of information and privacy legislation. © 2001, MCB UP Limited",in this article the author explores current practice in managing personnel records within the context of government in east and southern african countries such records are mostly in paper form and are vast in number the results of observation discussion and a survey are shared conclusions and recommendations are made about the future management of personnel records particularly in the context of possible future freedom of information and privacy legislation mcb up limited
Records Management Journal,Electronic records management in Malaysia: The need for an organisational and legal framework,Johare R.,2001,11.0,2,10.1108/EUM0000000007269,"Information technology has led to rapid and dynamic changes in the way government and business operate. The introduction of computers helps government administration in achieving efficiency and adding value to the conduct of government business transaction. The Malaysian Government has taken a pragmatic approach to the advancement of information technology by establishing a mega Electronic Government (EG) project in the form of a Multimedia Super Corridor (MSC) amidst the legacy systems. This paper seeks to demonstrate the nature of the EG initiatives and the legacy systems and discusses how the National Archives of Malaysia responded to the mounting pressure to address records management problems associated with the legacy systems and the EG. © 2001, MCB UP Limited",information technology has led to rapid and dynamic changes in the way government and business operate the introduction of computers helps government administration in achieving efficiency and adding value to the conduct of government business transaction the malaysian government has taken a pragmatic approach to the advancement of information technology by establishing a mega electronic government eg project in the form of a multimedia super corridor msc amidst the legacy systems this paper seeks to demonstrate the nature of the eg initiatives and the legacy systems and discusses how the national archives of malaysia responded to the mounting pressure to address records management problems associated with the legacy systems and the eg mcb up limited
Records Management Journal,Securing funding in the local government bidding culture: Are records sufficiently ‘sexy’ to succeed?,Coulson G.,2001,11.0,2,10.1108/EUM0000000007268,"This paper presents some of the findings from research into the effects that the emergent bidding culture has had on the development of English local government archive, library and museum services. The project was funded by Resource and undertaken by the Information Management Research Institute at the University of Northumbria at Newcastle. The research revealed that the extent of involvement by archives and record management services in competitive bidding for external funds was dependent on a number of factors including the level of existing resource bases of archive services; the geographical and cognitive locations of archives; and the focus of external funding opportunities. However, the need for archives and records management services to engage in effective bidding is not likely to disappear, and it is suggested that these organisations must adopt a dynamic approach to bidding and marketing, asserting that their needs – ‘sexy’ or otherwise – deserve appropriate funding. © 2001, MCB UP Limited",this paper presents some of the findings from research into the effects that the emergent bidding culture has had on the development of english local government archive library and museum services the project was funded by resource and undertaken by the information management research institute at the university of northumbria at newcastle the research revealed that the extent of involvement by archives and record management services in competitive bidding for external funds was dependent on a number of factors including the level of existing resource bases of archive services the geographical and cognitive locations of archives and the focus of external funding opportunities however the need for archives and records management services to engage in effective bidding is not likely to disappear and it is suggested that these organisations must adopt a dynamic approach to bidding and marketing asserting that their needs sexy or otherwise deserve appropriate funding mcb up limited
Records Management Journal,Records management and the capture of tacit knowledge,Sanderson M.,2001,11.0,1,10.1108/EUM0000000007263,"The purpose of this paper is to consider the question ‘is it necessary and appropriate for records managers to play a role in identifying and capturing tacit knowledge into records and maintaining them accordingly, and by doing so safeguarding the organisation's intellectual assets, moving human capital into structural capital’? Nonaka emphasises that tacit knowledge is a main source for creating new knowledge and continuous innovation. The need for, and ability of, organisations to capture tacit knowledge remains a disputed academic issue. Considering Nonaka's hierarchy of data → information → knowledge, the need for a reverse movement from knowledge → information seems to be a fair and logical conclusion. Making the case for capturing tacit knowledge, this paper goes on to discuss some of the implications for records management and records managers. There are no easy solutions on offer for the successful capture and re-use of tacit knowledge but questions are raised about the role of records managers. Developing relevant skills and taking responsibility for helping organisations with this strategic goal, thereby contributing to some core aspirations of our employers, should be an exciting prospect and worthwhile activity. © 2001, MCB UP Limited",the purpose of this paper is to consider the question is it necessary and appropriate for records managers to play a role in identifying and capturing tacit knowledge into records and maintaining them accordingly and by doing so safeguarding the organisation s intellectual assets moving human capital into structural capital nonaka emphasises that tacit knowledge is a main source for creating new knowledge and continuous innovation the need for and ability of organisations to capture tacit knowledge remains a disputed academic issue considering nonaka s hierarchy of data information knowledge the need for a reverse movement from knowledge information seems to be a fair and logical conclusion making the case for capturing tacit knowledge this paper goes on to discuss some of the implications for records management and records managers there are no easy solutions on offer for the successful capture and re-use of tacit knowledge but questions are raised about the role of records managers developing relevant skills and taking responsibility for helping organisations with this strategic goal thereby contributing to some core aspirations of our employers should be an exciting prospect and worthwhile activity mcb up limited
Records Management Journal,Preservation of Metropolitan Police Service records under the Greater London Authority,Brown A.,2001,11.0,1,10.1108/EUM0000000007264,"This article examines the effects of the Greater London Authority Act 1999 which makes changes to the accountability of the Metropolitan Police Service (MPS) by making it responsible to an independent police authority in the same way as other police forces in England and Wales. This is likely to affect the legal status of its records as ‘public records’. A comparison is made between current MPS practices and those of other police forces, together with an examination of the use of police records at the Public Record Office. The article attempts to show that, by making the MPS responsible to an independent authority rather than the Home Secretary, it is the authority, rather than the force, which will be subject to the provisions of the Local Government Act 1972 for records purposes, and the resulting change in status may result in a more fragmentary preservation of historical material. © 2001, MCB UP Limited",this article examines the effects of the greater london authority act which makes changes to the accountability of the metropolitan police service mps by making it responsible to an independent police authority in the same way as other police forces in england and wales this is likely to affect the legal status of its records as public records a comparison is made between current mps practices and those of other police forces together with an examination of the use of police records at the public record office the article attempts to show that by making the mps responsible to an independent authority rather than the home secretary it is the authority rather than the force which will be subject to the provisions of the local government act for records purposes and the resulting change in status may result in a more fragmentary preservation of historical material mcb up limited
