title,author,year,abstract
Establishing a Vital Records Programme,Kenny A.,1989,
Case Study: The Personal Computer as an Information Medium,Sarasin P.,1989,
Training Programmes in Records Management at the School of Librarianship and Information Sciences of the University of Montreal,Couture C.,1989,
‘Loose Leaves’,Davies V.,1989,
The Storage and Control of Paper During the Semi-active Phase: The Government's Perspective,Smith K.,1989,
Strategic Information Management & concept and reality,Newton S.,1989,
Loose Leaves,Davies V.,1989,
Records Management and Local Government in the United Kingdom: The Way Forward?,Wright C.,1989,
The National Archives and Office Systems: A Status Report,McDonald J.,1989,
Managing Information Technology,Cornes R.,1989,
‘Loose Leaves’,Davies V.,1989,
Patterns of Information Systems in Nigeria,Alegbeleye G.,1989,
Loose Leaves,Davies V.,1989,
Managing the Information on IT,Cornes R.,1989,
Branch Records of Lloyds Bank: The analysis of a Life-Cycle,Booker J.,1989,
A comparison between free text and a thesaurus controlled vocabulary in searching an online records management database: What are Free Text and Controlled Vocabulary?,Comber D.,1989,
Managing Information on IT,Cornes R.,1989,
Records Management and Data Management: Closing the Gap,McDonald J.,1989,
The Rate for the Job,Gould G.,1989,
Managing the Information on IT: No Crystal Balls - Surviving the Unpredictable IT Future,Cornes R.,1989,
Case Study: Records Management in a Pharmaceutical Environment,Chalmers A.,1989,
Managing Information on IT,Cornes R.,1990,
Case Study Well Information: Records Management in the Key Business,Bullen G.,1990,
Guest Column,Pritchard J.,1990,
Guest Column: Dress for success,Middleburgh G.,1990,
Loose Leaves,Davies V.,1990,
Case Study Records Management at the TUG Challenge and Change,Jones M.,1990,
My invaluable experience in Current Records Management,Muhenda M.,1990,
Case Study: Information Retrieval: A Practical Approach,Williams B.,1990,
Managing Information on Technology,Comes R.,1990,
‘Loose Leaves’,Davies V.,1990,
Loose Leaves,Davies V.,1990,
Guest Column Count Joseph Kemeny: The Virus and the Beetle,Rady M.,1990,
Controlled Decentralised Filing: The alternative to the registry,Garland S.,1990,
Finding the Right Candidate - Part II,Gould G.,1990,
Interests of Third Parties: The extent to which government should keep information secret for the sake of third parties,Michael J.,1990,
The Future of Information Management,Best D.,1990,
The Oil Industry: A Need For Standards,Edmonds D.,1990,
Document Image Processing Systems — Where they are and where they,Pritchard J.,1990,
Finding the right candidate,Gould G.,1990,
Some Likely Developments in Information Technology and Records Management,Freeman G.,1990,
Managing Information Technology,Cornes R.,1991,
‘Loose Leaves’,Davies V.,1991,
Records Management - Quo Vadis?,Chartaby K.,1991,
"Getting the Records Straight: Creating, Retaining, and Disclosing Archives",Michael J.,1991,
Prefectural Archives and the Documents and Regulations of Chiba Prefecture,Kamata T.,1991,
Guest Column: The Work of a Records Manager: A Bit of Advice,Binmore R.,1991,
The management of secret Police files in Eastern Europe,Rady M.,1991,
Planning and Evaluation in the Australian Archives: A Case Study,Skrzypek S.,1991,
Information and Common Law,Michael J.,1991,
The West African Working Workshops,Mnjama N.,1991,
The Records Management Society and an Archivist: A Japanese story of Unrequited Love,Ogawa C.,1991,
The Records Management Business in Japan,Tatsuya T.,1991,
Loose Leaves,Davies V.,1991,
Computers in Developing Countries: A Closer Look at the Uganda Situation,Muhenda M.,1991,
The Archive Management System in Shizuoka Prefecture,Itoh,1991,
Disaster Prevention in Records Management in Japan,Yujiro O.,1991,
Records Management as the Basis of Open Information,Hiroyuki H.,1991,
A Records Management Society of No Records Managers,Sakuyama M.,1991,
Study On Awareness Of Records Management,Hirota D.,1991,
Case Study: Records Management and the U.S. Savings and Loan Crisis,Lannon K.,1991,
Records Management Society comes of age,Steemson M.,1994,"The Chairman of the UK Records Management Society describes how the Society is developing to meet the challenges of a new millennium. He outlines how two alternative plans for growth had been produced - the 'base case' and 'leading edge' proposals - and how the members of the Society decided to proceed with the 'leading edge', which is intended to reach deeper into the development of the profession. The changes that are taking place include the instigation of a full-time secretariat; adopting a pro-active role in promoting higher professional and academic standards; lobbying government and other agencies and encouraging substantial growth in membership figures. The paper is appended with the Society's mission statement. © 1994, MCB UP Limited."
