word,total_freq,doc_freq,doc_ratio,AS_freq,AR_freq,RMJ_freq,AA_freq
record,3676,963,57.8,836,605,1882,353
archive,2611,914,54.9,1117,680,291,523
archival,2367,916,55.0,1006,539,187,635
study,1517,705,42.3,342,155,745,275
use,1453,765,45.9,376,193,608,276
management,1414,496,29.8,128,62,1158,66
paper,1297,666,40.0,332,129,705,131
research,1285,594,35.7,366,121,610,188
information,1221,502,30.2,234,111,749,127
article,1122,724,43.5,360,327,125,310
archivist,1020,524,31.5,246,248,75,451
digital,1017,324,19.5,291,186,296,244
approach,927,585,35.1,150,89,612,76
practice,906,529,31.8,280,173,274,179
datum,768,325,19.5,215,46,420,87
system,748,354,21.3,185,73,439,51
finding,744,490,29.4,84,27,561,72
work,741,457,27.4,224,167,180,170
value,697,512,30.8,88,68,475,66
collection,650,324,19.5,151,107,64,328
public,644,316,19.0,141,70,329,104
provide,640,471,28.3,152,76,264,148
purpose,629,428,25.7,55,21,541,12
community,611,281,16.9,298,147,43,123
design,594,438,26.3,49,19,472,54
process,575,370,22.2,183,88,193,111
document,559,359,21.6,212,103,150,94
access,558,328,19.7,189,90,95,184
project,547,281,16.9,164,69,141,173
need,546,390,23.4,139,76,242,89
new,543,381,22.9,175,101,162,105
case,539,377,22.6,131,83,209,116
base,515,369,22.2,125,76,218,96
history,514,297,17.8,178,170,15,151
other,509,390,23.4,143,98,173,95
social,498,260,15.6,210,73,126,89
challenge,497,346,20.8,121,50,211,115
context,489,340,20.4,192,114,136,47
professional,487,296,17.8,91,59,220,117
examine,485,425,25.5,138,104,129,114
methodology,477,408,24.5,34,19,403,21
government,468,229,13.8,109,64,266,29
user,462,213,12.8,125,73,144,120
implication,457,284,17.1,30,22,379,26
make,445,355,21.3,146,85,137,77
author,439,306,18.4,86,99,128,126
issue,429,305,18.3,123,61,173,72
institution,428,248,14.9,122,63,113,130
have,428,349,21.0,117,75,155,81
preservation,428,232,13.9,102,83,133,110
explore,426,379,22.8,140,97,114,75
such,414,327,19.6,141,70,126,77
present,409,329,19.8,138,57,148,66
analysis,408,297,17.8,111,35,199,63
development,407,297,17.8,127,58,149,73
science,401,283,17.0,320,21,39,21
way,396,310,18.6,128,111,88,69
model,396,213,12.8,144,47,155,50
knowledge,395,259,15.6,130,74,146,45
recordkeeping,394,158,9.5,147,36,196,15
material,393,261,15.7,120,98,31,144
create,392,321,19.3,137,95,71,89
include,382,311,18.7,109,48,120,105
develop,371,306,18.4,108,56,131,76
national,369,239,14.4,133,48,137,51
electronic,364,179,10.8,40,48,234,42
historical,361,258,15.5,165,75,22,99
originality,356,346,20.8,2,2,352,0
role,355,271,16.3,122,64,99,70
focus,351,309,18.6,114,65,111,61
result,349,268,16.1,89,39,148,73
identify,349,265,15.9,88,31,162,68
business,348,290,17.4,198,24,115,11
