Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1;15631;"International Journal of Information Management";journal;"02684012";"Elsevier Ltd";No;No;6,260;Q1;196;85;334;9424;11357;313;33,30;110,87;31,92;2;14;United Kingdom;Western Europe;"Elsevier Ltd";"1970, 1986-2025";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1); Marketing (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
2;15574;"Information Systems Research";journal;"15265536, 10477047";"INFORMS Institute for Operations Research and the Management Sciences";No;No;4,850;Q1;192;102;236;8480;2301;232;7,95;83,14;29,08;1;22;United States;Northern America;"INFORMS Institute for Operations Research and the Management Sciences";"1990-2024";"Computer Networks and Communications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
3;15074;"European Journal of Information Systems";journal;"0960085X, 14769344";"Taylor and Francis Ltd.";No;No;3,459;Q1;139;73;130;7654;1745;120;12,44;104,85;25,33;0;7;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1995-2025";"Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
4;14735;"Government Information Quarterly";journal;"0740624X";"Elsevier Ltd";No;No;2,861;Q1;144;64;236;5726;3178;232;13,23;89,47;33,15;4;49;United Kingdom;Western Europe;"Elsevier Ltd";"1984-2025";"E-learning (Q1); Law (Q1); Library and Information Sciences (Q1); Sociology and Political Science (Q1)";"Social Sciences"
5;21101081610;"International Journal of Information Management Data Insights";journal;"26670968";"Elsevier B.V.";Yes;No;2,302;Q1;48;92;202;7510;3662;201;15,11;81,63;27,94;0;34;Netherlands;Western Europe;"Elsevier B.V.";"2021-2025";"Artificial Intelligence (Q1); Industrial and Manufacturing Engineering (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering; Social Sciences"
6;21100933954;"Big Data and Society";journal;"20539517";"SAGE Publications Ltd";Yes;No;2,207;Q1;78;108;307;6778;2482;259;6,23;62,76;49,52;7;37;United Kingdom;Western Europe;"SAGE Publications Ltd";"2014-2025";"Communication (Q1); Computer Science Applications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1)";"Computer Science; Decision Sciences; Social Sciences"
7;12815;"Journal of Information Technology";journal;"14664437, 02683962";"Palgrave Macmillan Ltd.";No;No;2,192;Q1;96;46;81;5117;634;65;8,56;111,24;30,30;3;13;United Kingdom;Western Europe;"Palgrave Macmillan Ltd.";"1987-2025";"Information Systems (Q1); Library and Information Sciences (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Computer Science; Social Sciences"
8;12689;"Information Processing and Management";journal;"18735371, 03064573";"Elsevier Ltd";No;No;2,062;Q1;137;298;879;18422;9920;873;9,88;61,82;33,64;1;34;United Kingdom;Western Europe;"Elsevier Ltd";"1975-2025";"Computer Science Applications (Q1); Information Systems (Q1); Library and Information Sciences (Q1); Management Science and Operations Research (Q1); Media Technology (Q1)";"Computer Science; Decision Sciences; Engineering; Social Sciences"
9;200147110;"Information Communication and Society";journal;"1369118X";"Routledge";No;No;2,026;Q1;125;260;451;15188;3257;435;6,39;58,42;52,11;0;86;United Kingdom;Western Europe;"Routledge";"2001, 2005-2025";"Communication (Q1); Library and Information Sciences (Q1)";"Social Sciences"
10;21100451321;"Scientific Data";journal;"20524463";"Nature Research";Yes;No;1,867;Q1;142;1415;1945;69795;14470;171;6,92;49,33;37,62;21;504;United Kingdom;Western Europe;"Nature Research";"2014-2025";"Computer Science Applications (Q1); Education (Q1); Information Systems (Q1); Library and Information Sciences (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Computer Science; Decision Sciences; Mathematics; Social Sciences"
11;29745;"Information and Organization";journal;"14717727";"Elsevier Ltd";No;No;1,803;Q1;79;20;58;1760;466;56;6,38;88,00;42,59;0;2;United Kingdom;Western Europe;"Elsevier Ltd";"1996-1997, 2001-2025";"Information Systems (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1); Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1)";"Business, Management and Accounting; Computer Science; Social Sciences"
12;20870;"Telecommunications Policy";journal;"03085961";"Elsevier Ltd";No;No;1,728;Q1;93;105;311;6808;2532;303;7,59;64,84;36,40;7;67;United Kingdom;Western Europe;"Elsevier Ltd";"1976-2025";"Economics and Econometrics (Q1); Electrical and Electronic Engineering (Q1); Human Factors and Ergonomics (Q1); Information Systems (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1); Management, Monitoring, Policy and Law (Q1)";"Business, Management and Accounting; Computer Science; Economics, Econometrics and Finance; Engineering; Environmental Science; Social Sciences"
13;130065;"Journal of Enterprise Information Management";journal;"17410398";"Emerald Publishing";No;No;1,675;Q1;89;88;198;8542;2328;193;10,24;97,07;35,94;0;43;United Kingdom;Western Europe;"Emerald Publishing";"2004-2025";"Decision Sciences (miscellaneous) (Q1); Information Systems (Q1); Library and Information Sciences (Q1); Management of Technology and Innovation (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
14;144955;"Education and Information Technologies";journal;"13602357";"Kluwer Academic Publishers";No;No;1,654;Q1;97;1210;1534;79834;14862;1494;8,99;65,98;42,48;12;500;United States;Northern America;"Kluwer Academic Publishers";"1996-2002, 2005-2025";"Education (Q1); E-learning (Q1); Library and Information Sciences (Q1)";"Social Sciences"
15;19600157322;"Journal of Cheminformatics";journal;"17582946";"BioMed Central Ltd";Yes;No;1,570;Q1;92;144;301;7836;2353;289;5,51;54,42;30,51;0;17;United Kingdom;Western Europe;"BioMed Central Ltd";"2009-2025";"Computer Graphics and Computer-Aided Design (Q1); Computer Science Applications (Q1); Library and Information Sciences (Q1); Physical and Theoretical Chemistry (Q1)";"Chemistry; Computer Science; Social Sciences"
16;130132;"Information Technology and People";journal;"09593845";"Emerald Group Publishing Ltd.";No;No;1,567;Q1;83;186;336;17294;2864;331;8,20;92,98;41,65;0;37;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1990, 1992, 1994-2025";"Computer Science Applications (Q1); Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
