journal,title,author,year,volume,issue,doi,abstract
American Archivist,Arranging and cataloguing manuscripts in the William L. Clements Library,Peckham H.,1938,1,4,10.17723/aarc.1.4.14l5102465r27084,
American Archivist,The analysis of county records,Evans L.,1938,1,4,10.17723/aarc.1.4.yt3h320v1086776m,
American Archivist,The evaluation and preservation of business archives,Holmes O.,1938,1,4,10.17723/aarc.1.4.p2x3r56677tj4423,
American Archivist,Indiana archives,Coleman C.,1938,1,4,10.17723/aarc.1.4.g163457n140n2673,
American Archivist,The part of the archivist in the writing of American legal history,Keith Fitzroy H.,1938,1,3,10.17723/aarc.1.3.ur00746143274130,
American Archivist,Early essay at manuscript preservation in the old northwest,,1938,1,3,10.17723/aarc.1.3.584537032514j312,
American Archivist,The administration of state archives,Gates C.M.,1938,1,3,10.17723/aarc.1.3.l6532812q45pnv00,
American Archivist,Repair and preservation in the national archives,Kimberly A.,1938,1,3,10.17723/aarc.1.3.b13k81k2k6w2672r,
American Archivist,Manuscript repair in European archives,Smith L.,1938,1,2,10.17723/aarc.1.2.g8443720573h1m78,
American Archivist,The Illinois State archives building,Norton M.,1938,1,2,10.17723/aarc.1.2.g035k658642h366v,
American Archivist,Manuscript repair in European archives,Smith L.,1938,1,1,10.17723/aarc.1.1.w1881h7687456p26,
American Archivist,The public records of South Carolina,Woody R.,1939,2,4,10.17723/aarc.2.4.n77235523l888768,
American Archivist,The archivist in American scholarship,Newsome A.R.,1939,2,4,10.17723/aarc.2.4.6706152457635438,
American Archivist,Local archives and the study of government,Scammell J.,1939,2,4,10.17723/aarc.2.4.n17h002244380435,
American Archivist,Problems of archives classification,Lewinson P.,1939,2,3,10.17723/aarc.2.3.k7362j743t88215v,
American Archivist,Strategic objectives in archival policy,Binkley R.,1939,2,3,10.17723/aarc.2.3.j5263704635335lu,
American Archivist,Microphotographic equipment,Raney M.,1939,2,3,10.17723/aarc.2.3.r92m5654r4263775,
American Archivist,The training of archivists in the United States,Bemis S.,1939,2,3,10.17723/aarc.2.3.r1ht0v6740rp3053,
American Archivist,Cataloguing at the national archives,Russell J.,1939,2,3,10.17723/aarc.2.3.32vgp216l566w54k,
American Archivist,The character and extent of fugitive archival material,Adams R.,1939,2,2,10.17723/aarc.2.2.60156g49p2h31hw9,
American Archivist,The relation of historical manuscripts to archival materials,Garrison C.,1939,2,2,10.17723/aarc.2.2.n346294083742825,
American Archivist,Motion pictures and the future historian,Arbaugh D.,1939,2,2,10.17723/aarc.2.2.7kv56p4206183040,
American Archivist,The history of European archival literature,Palmer O.,1939,2,2,10.17723/aarc.2.2.d7821153t468kr64,
American Archivist,American archival journals,Jacobsen E.,1939,2,1,10.17723/aarc.2.1.ut42417t64639868,
American Archivist,Uniform state archival legislation,Newsome A.R.,1939,2,1,10.17723/aarc.2.1.32tk6267g256l5n8,
American Archivist,The second annual meeting of the Society of American Archivists,Kellar H.,1939,2,1,10.17723/aarc.2.1.36l3117373p2m245,
American Archivist,Publication policies for archival and historical agencies,Crittenden C.C.,1940,3,4,10.17723/aarc.3.4.5r441544126728pt,
American Archivist,The selection of records for preservation,Brooks P.,1940,3,4,10.17723/aarc.3.4.u77415458gu22n65,
American Archivist,Archival development in the lower Mississippi valley,Davis E.A.,1940,3,4,10.17723/aarc.3.4.2q536800t1jm342u,
American Archivist,The public relations of archival depositories,Mccain W.,1940,3,4,10.17723/aarc.3.4.c7gh25674mj15h06,
American Archivist,Local records,VanderVElde L.G.,1940,3,4,10.17723/aarc.3.4.m29r388372540672,
American Archivist,The archives of Texas,Smither H.,1940,3,3,10.17723/aarc.3.3.h2hm4prx44473773,
American Archivist,Some aspects of archival development since the French revolution,Posner E.,1940,3,3,10.17723/aarc.3.3.q64h3343h663402j,
American Archivist,Alice in wonderland,Nichols R.,1940,3,3,10.17723/aarc.3.3.0n881p74n1420267,
American Archivist,Archival classification,Wright A.,1940,3,3,10.17723/aarc.3.3.q34w535673n13151,
American Archivist,The problem of records from the standpoint of management,Chatfield H.,1940,3,2,10.17723/aarc.3.2.d7683226j7167838,
American Archivist,Specifying inks and papers for government offices,Burt H.,1940,3,2,10.17723/aarc.3.2.586821lx411k7073,
American Archivist,The Franklin D. Roosevelt library,Connor R.,1940,3,2,10.17723/aarc.3.2.l273200r0410xt31,
American Archivist,Reduction of public records,Leahy E.,1940,3,1,10.17723/aarc.3.1.928725x784741064,
American Archivist,The third annual meeting of the society of American archivists,Overman W.,1940,3,1,10.17723/aarc.3.1.q1953582l21kh187,
American Archivist,Some problems of state archival administration,Crittenden C.C.,1941,4,4,10.17723/aarc.4.4.c382u118p2766720,
American Archivist,A ten year experiment in archival practices,Nuermberger R.,1941,4,4,10.17723/aarc.4.4.uw0074344165rup7,
American Archivist,Extension service records in Alabama,Davis C.,1941,4,4,10.17723/aarc.4.4.m47510876862w58j,
American Archivist,Baldassare Bonifacio and his essay de archivis,Born L.,1941,4,4,10.17723/aarc.4.4.36u35457n6g45825,
American Archivist,The archives of New York,Rowse E.,1941,4,4,10.17723/aarc.4.4.v74367612t722k23,
American Archivist,The papers of Thomas Jefferson,Bullock H.,1941,4,4,10.17723/aarc.4.4.3107545250354r73,
American Archivist,A soldier-archivist and his records: Major general Fred C. Ainsworth,Riepma S.,1941,4,3,10.17723/aarc.4.3.0u42qj7518471r75,
American Archivist,Administrative history in federal archives,Trever K.,1941,4,3,10.17723/aarc.4.3.p760nj28234210r1,
American Archivist,Some problems of state archival administration,Coleman C.,1941,4,3,10.17723/aarc.4.3.757v62j31736rr41,
American Archivist,Archives and local administrative history,McFarland G.,1941,4,3,10.17723/aarc.4.3.0201176163336434,
American Archivist,Archival maps as illustrated by those in the national archives,Joerg W.,1941,4,3,10.17723/aarc.4.3.q5p4115m16252424,
American Archivist,The Challenge of historical materials,Morris R.B.,1941,4,2,10.17723/aarc.4.2.c79g9176777h0450,
American Archivist,The training of American archivists,Buck S.,1941,4,2,10.17723/aarc.4.2.u652un52g5231278,
American Archivist,Dedication of the archival section of the Alabama World War memorial building,Connor R.,1941,4,2,10.17723/aarc.4.2.k061425592324731,
American Archivist,Confederate judicial records,Robinson W.,1941,4,2,10.17723/aarc.4.2.v5472757227n4256,
American Archivist,The fourth annual meeting of the society of American archivists,Cappon L.,1941,4,1,10.17723/aarc.4.1.g7u2738513k54pw1,
American Archivist,The archivist in times of emergency,Leland W.,1941,4,1,10.17723/aarc.4.1.027021201325xq18,
American Archivist,European experiences in training archivists,Posner E.,1941,4,1,10.17723/aarc.4.1.g586337546433651,
American Archivist,"Historical résumé of the public archives of the state of São Paulo, Brazil",Lounsbury R.,1942,5,4,10.17723/aarc.5.4.k33m3339112753r0,
American Archivist,The eighteenth century Cherokee archives,Alden J.R.,1942,5,4,10.17723/aarc.5.4.j86thw0020678335,
American Archivist,The protection of federal records against Hazards of War,Harris C.,1942,5,4,10.17723/aarc.5.4.j3716wu930214128,
American Archivist,What is past is prologue,Child S.,1942,5,4,10.17723/aarc.5.4.231549g15k7x168x,
American Archivist,Old records in a new war,Campbell E.,1942,5,3,10.17723/aarc.5.3.760848631l1r167x,
American Archivist,The dedicatory exercises of the Hoover Library,Bane S.,1942,5,3,10.17723/aarc.5.3.015v167504123667,
American Archivist,Information please: Finding aids in state and local archival depositories,Van Schreeven W.,1942,5,3,10.17723/aarc.5.3.7pq3431075371182,
American Archivist,Effects of changes of sovereignty on archives,Posner E.,1942,5,3,10.17723/aarc.5.3.n1q5l331w780t1g7,
American Archivist,The French foreign office records under the third republic,Lokke C.,1942,5,2,10.17723/aarc.5.2.311lp17701qh8677,
American Archivist,Finding mediums in the national archives: An appraisal of six years' experience,Hamer P.,1942,5,2,10.17723/aarc.5.2.u0u37v964757831w,
American Archivist,Retention of life insurance records,Larkin H.,1942,5,2,10.17723/aarc.5.2.k684w52026855k53,
American Archivist,Notes on the history of public administration project,White L.,1942,5,2,10.17723/aarc.5.2.c26x508101036417,
American Archivist,Establishing priorities for state records: Illinois experience,Norton M.,1942,5,1,10.17723/aarc.5.1.085h12n941762756,
American Archivist,Historians and archivists in the first world war,Leland W.,1942,5,1,10.17723/aarc.5.1.p6602v7n565m334x,
American Archivist,Ohio archives,Overman W.,1942,5,1,10.17723/aarc.5.1.158374xwxx071273,
American Archivist,The records of a statistical survey,Ullman M.B.,1942,5,1,10.17723/aarc.5.1.g726p1x56n471k1g,
American Archivist,The preservation of consular and diplomatic post records of the United States,Colket M.,1943,6,4,10.17723/aarc.6.4.814531u652m31086,
American Archivist,Archival terminology,Hill R.,1943,6,4,10.17723/aarc.6.4.q213j5n6k880672t,
American Archivist,"The Bureau of Navigation, 1862-1942",Beers H.,1943,6,4,10.17723/aarc.6.4.h18322070316m811,
American Archivist,"Papers, carbons, and ribbons",Keegan W.,1943,6,3,10.17723/aarc.6.3.v30622655g23nj4r,
American Archivist,Restoration methods,Barrow W.,1943,6,3,10.17723/aarc.6.3.497248722g4584rr,
American Archivist,Scheduling the disposition of records,Bahmer R.,1943,6,3,10.17723/aarc.6.3.e2457xl474772377,
American Archivist,Current aspects of records administration,Brooks P.,1943,6,3,10.17723/aarc.6.3.m22613816894k064,
American Archivist,The relationship between archival agencies and libraries,Church R.,1943,6,3,10.17723/aarc.6.3.411852t15205l467,
American Archivist,The control of records,McCormick W.,1943,6,3,10.17723/aarc.6.3.m247x416445q4v85,
American Archivist,The need for regional depositories for federal records,Morris R.B.,1943,6,2,10.17723/aarc.6.2.r022g2212264376t,
American Archivist,The interests of the states in federal field office records,McCain W.,1943,6,2,10.17723/aarc.6.2.g823q1732th83j28,
American Archivist,Army field records,Douglas J.,1943,6,2,10.17723/aarc.6.2.h2746u66m77h0615,
American Archivist,The problem of federal field office records,Holmes O.,1943,6,2,10.17723/aarc.6.2.g0x3k53g3m484758,
American Archivist,The sixth annual meeting of the Society of American Archivists,Burt H.,1943,6,1,10.17723/aarc.6.1.w67822314g550627,
American Archivist,The Ohio war history commission,Overman W.,1943,6,1,10.17723/aarc.6.1.n26788g851871kt6,
American Archivist,Adventures of an Amateur archivist,Connor R.D.W.,1943,6,1,10.17723/aarc.6.1.533587pmph1431l9,
American Archivist,Records administration in the Tennessee Valley Authority,Sterman C.,1944,7,4,10.17723/aarc.7.4.748hv1182u233513,
American Archivist,"Report on the destruction by the Germans, September 30, 1943, of the depository of priceless historical records of the Naples State Archives",Filangieri C.,1944,7,4,10.17723/aarc.7.4.y8g06m75585jp8r1,
